"Hillsdale",0
"Hillsgrove",284
"Hillsville",392
"Hilltown",188
"Holbrook",1002
"Holicong",0
"Hollidaysburg",15399
"Hollsopple",3182
"Holmes",2816
"Holtwood",3390
"Home",2469
"Homer City",7073
"Homestead",20437
"Honesdale",13163
"Honey Brook",10044
"Honey Grove",821
"Hookstown",2507
"Hooversville",1552
"Hop Bottom",1217
"Hopeland",0
"Hopewell",1698
"Hopwood",3206
"Horsham",16705
"Hostetter",0
"Houston",5029
"Houtzdale",5324
"Howard",4635
"Hughesville",5928
"Hummels Wharf",0
"Hummelstown",18826
"Hunker",2057
"Hunlock Creek",5885
"Huntingdon",17720
"Huntingdon Valley",20451
"Huntington Mills",300
"Hustontown",1406
"Hutchinson",322
"Hyde",468
"Hyde Park",513
"Hydetown",0
"Hyndman",2940
"Hyner",176
"Ickesburg",1073
"Idaville",0
"Imler",1546
"Immaculata",581
"Imperial",6743
"Indian Head",320
"Indiana",34170
"Indianola",628
"Industry",3938
"Ingomar",0
"Intercourse",0
"Irvine",313
"Irvona",1419
"Irwin",44880
"Isabella",90
"Jackson",200
"Jackson Center",1617
"Jacobs Creek",276
"James City",301
"James Creek",1362
"Jamestown",3898
"Jamison",7873
"Jeannette",20102
"Jefferson",1455
"Jenkintown",19046
"Jenners",424
"Jennerstown",313
"Jermyn",6454
"Jerome",624
"Jersey Mills",20
"Jersey Shore",13149
"Jessup",4238
"Jim Thorpe",6956
"Joffre",64
"Johnsonburg",3792
"Johnstown",77260
"Jones Mills",366
"Jonestown",6517
"Josephine",0
"Julian",2773
"Junedale",48
"Kane",6678
"Kantner",0
"Karns City",2163
"Karthaus",967
"Keisterville",0
"Kelayres",503
"Kelton",0
"Kemblesville",0
"Kempton",3076
"Kennerdell",1622
"Kennett Square",18493
"Kent",95
"Kersey",3992
"Kimberton",0
"King Of Prussia",21893
"Kingsley",1824
"Kingston",32747
"Kintnersville",2663
"Kinzers",2094
"Kirkwood",2556
"Kittanning",18922
"Kleinfeltersville",0
"Klingerstown",674
"Knox",4494
"Knox Dale",264
"Knoxville",1423
"Koppel",896
"Kossuth",368
"Kreamer",325
"Kresgeville",665
"Kulpmont",3494
"Kulpsville",0
"Kunkletown",7675
"Kutztown",14539
"Kylertown",426
"La Belle",333
"La Jose",470
"La Plume",0
"Laceyville",2784
"Lackawaxen",399
"Lafayette Hill",10145
"Lahaska",0
"Lairdsville",83
"Lake Ariel",12113
"Lake City",4136
"Lake Como",224
"Lake Harmony",439
"Lake Lynn",897
"Lake Winola",256
"Lakeville",945
"Lakewood",618
"Lamar",434
"Lamartine",0
"Lampeter",0
"Lancaster",149863
"Landenberg",9829
"Landingville",0
"Landisburg",2300
"Landisville",6272
"Lanesboro",150
"Langeloth",609
"Langhorne",32578
"Lansdale",51722
"Lansdowne",28744
"Lanse",545
"Lansford",4230
"Laporte",314
"Larimer",99
"Latrobe",28016
"Lattimer Mines",461
"Laughlintown",611
"Laurelton",244
"Laurys Station",1262
"Lavelle",197
"Lawn",252
"Lawrence",1252
"Lawrenceville",2162
"Lawton",173
"Le Raysville",819
"Lebanon",62531
"Leck Kill",275
"Leckrone",145
"Lecontes Mills",0
"Lederach",0
"Leechburg",10156
"Leeper",1247
"Leesport",7578
"Leetsdale",1215
"Lehigh Valley",0
"Lehighton",18329
"Lehman",0
"Leisenring",197
"Lemasters",0
"Lemont",795
"Lemont Furnace",2733
"Lemoyne",5682
"Lenhartsville",1988
"Lenni",0
"Lenoxville",201
"Leola",9324
"Levittown",64626
"Lewis Run",2526
"Lewisberry",5758
"Lewisburg",17623
"Lewistown",21898
"Lewisville",0
"Liberty",1190
"Lickingville",151
"Lightstreet",0
"Ligonier",9107
"Lilly",3865
"Limekiln",0
"Limeport",0
"Limestone",56
"Lincoln University",7428
"Linden",3267
"Line Lexington",508
"Linesville",5125
"Lionville",0
"Listie",0
"Lititz",36610
"Little Meadows",779
"Littlestown",9698
"Liverpool",3201
"Llewellyn",190
"Lock Haven",18429
"Locust Gap",388
"Locustdale",150
"Loganton",2728
"Loganville",0
"Long Pond",2696
"Lopez",501
"Loretto",3421
"Lost Creek",199
"Lowber",297
"Loyalhanna",657
"Loysburg",332
"Loysville",2364
"Lucernemines",511
"Lucinda",1213
"Ludlow",389
"Lumberville",0
"Lurgan",0
"Luthersburg",978
"Luxor",214
"Luzerne",3002
"Lykens",4362
"Lyndell",0
"Lyndora",1167
"Lyon Station",504
